epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8667,1.88918,2.08824,1.19308,0.50646,0.97406,0.49056,0.32058,1.65568,inf,1.12884,0.000543038,0.000543038,0.000543038
2,42.429,1.72242,0.93413,1.11819,0.00128,0.042,0.00071,0.00032,nan,nan,nan,0.00109844,0.00109844,0.00109844
3,64.1496,1.71752,0.89105,1.1068,0.41048,0.46226,0.42649,0.19928,1.90719,2.11694,1.27344,0.00165276,0.00165276,0.00165276
4,86.0918,1.72431,0.88151,1.10528,0.03395,0.15419,0.01367,0.00706,2.99066,inf,3.20449,0.00166334,0.00166334,0.00166334
5,107.192,1.68835,0.84247,1.11012,0.95065,0.89005,0.95635,0.53887,1.65712,0.84269,1.11929,0.00166049,0.00166049,0.00166049
6,128.856,1.69329,0.81274,1.0996,0.98331,0.97714,0.97527,0.52769,1.62456,1.26017,1.10111,0.00165684,0.00165684,0.00165684
7,149.086,1.66625,0.80386,1.09096,0.94428,0.94557,0.96009,0.554,1.55551,0.84486,1.07402,0.00165238,0.00165238,0.00165238
8,169.814,1.61976,0.8059,1.07761,0.97561,0.97406,0.97956,0.56596,1.5825,0.71137,1.07216,0.00164713,0.00164713,0.00164713
9,190.318,1.59898,0.77933,1.05797,0.69764,0.91701,0.84709,0.47288,1.56736,1.13874,1.06632,0.00164108,0.00164108,0.00164108
10,210.665,1.63308,0.77929,1.06989,0.45803,0.44816,0.36266,0.19003,2.18857,2.1756,1.41731,0.00163424,0.00163424,0.00163424
11,230.715,1.60435,0.75624,1.06938,0.99299,0.97303,0.98368,0.57724,1.55972,0.67611,1.07016,0.00162661,0.00162661,0.00162661
12,251.011,1.58977,0.73313,1.0575,0.99612,0.97816,0.97992,0.58495,1.52202,0.71412,1.05103,0.00161822,0.00161822,0.00161822
13,271.229,1.5913,0.74605,1.0659,0.99571,0.97919,0.98565,0.58465,1.4841,0.69287,1.04173,0.00160905,0.00160905,0.00160905
14,291.425,1.57267,0.739,1.04391,0.99222,0.97406,0.98379,0.58994,1.5401,0.65242,1.06484,0.00159913,0.00159913,0.00159913
15,311.806,1.55742,0.71525,1.04815,0.9969,0.97816,0.98825,0.57171,1.55671,0.65993,1.06056,0.00158847,0.00158847,0.00158847
16,331.853,1.57846,0.73152,1.042,0.99474,0.97611,0.98593,0.57728,1.56053,0.6576,1.05427,0.00157706,0.00157706,0.00157706
17,351.835,1.59268,0.72043,1.05259,0.99697,0.97919,0.9865,0.59103,1.54531,0.6519,1.05437,0.00156493,0.00156493,0.00156493
18,371.85,1.57346,0.71868,1.04452,0.99373,0.97816,0.98617,0.58375,1.53523,0.66055,1.05161,0.00155209,0.00155209,0.00155209
19,391.865,1.57735,0.70165,1.05746,0.99476,0.97611,0.9896,0.59429,1.53869,0.64039,1.05347,0.00153854,0.00153854,0.00153854
20,412.515,1.52621,0.69019,1.03354,0.99697,0.97816,0.98924,0.60823,1.50004,0.62527,1.04521,0.00152431,0.00152431,0.00152431
21,432.678,1.53937,0.6866,1.04102,0.99101,0.97452,0.98221,0.58069,1.56728,0.62612,1.06958,0.00150941,0.00150941,0.00150941
22,453.86,1.55691,0.70118,1.04001,0.99305,0.97714,0.9883,0.60337,1.53122,0.6555,1.04811,0.00149384,0.00149384,0.00149384
23,474.71,1.55619,0.69826,1.04484,0.99575,0.97714,0.98833,0.60801,1.51166,0.62634,1.03302,0.00147764,0.00147764,0.00147764
24,494.785,1.5066,0.68108,1.03117,0.99342,0.97272,0.98842,0.60114,1.48132,0.65414,1.03293,0.0014608,0.0014608,0.0014608
25,515.371,1.55688,0.68705,1.03402,0.99784,0.97919,0.98798,0.60103,1.49857,0.62058,1.03512,0.00144335,0.00144335,0.00144335
26,536.002,1.54507,0.67901,1.04117,0.99685,0.97919,0.98981,0.61148,1.49323,0.61818,1.03112,0.00142531,0.00142531,0.00142531
27,556.751,1.51621,0.66248,1.03214,0.99653,0.97816,0.989,0.60914,1.50178,0.60469,1.03615,0.0014067,0.0014067,0.0014067
28,576.891,1.54308,0.67126,1.03957,0.98892,0.97508,0.97833,0.58873,1.52072,0.64671,1.04495,0.00138753,0.00138753,0.00138753
29,597.164,1.50412,0.66898,1.02912,0.99651,0.97816,0.98914,0.62676,1.46702,0.59354,1.02973,0.00136781,0.00136781,0.00136781
30,617.191,1.52161,0.65582,1.02614,0.9917,0.97303,0.98476,0.61654,1.51412,0.61339,1.04081,0.00134758,0.00134758,0.00134758
31,637.31,1.51097,0.65663,1.02379,0.99678,0.97816,0.98969,0.61878,1.47704,0.60234,1.03098,0.00132685,0.00132685,0.00132685
32,657.311,1.49217,0.65303,1.02274,0.99705,0.97816,0.99056,0.62721,1.49435,0.59577,1.036,0.00130565,0.00130565,0.00130565
33,677.373,1.51853,0.66784,1.04153,0.99725,0.97919,0.99118,0.62657,1.45475,0.59999,1.0244,0.00128398,0.00128398,0.00128398
34,697.538,1.50253,0.64226,1.02625,0.99613,0.98136,0.9916,0.61266,1.49674,0.61254,1.03965,0.00126188,0.00126188,0.00126188
35,717.62,1.50243,0.65521,1.01957,0.99634,0.97816,0.99092,0.62002,1.46758,0.59857,1.02656,0.00123936,0.00123936,0.00123936
36,737.737,1.51169,0.65526,1.03225,0.99351,0.97611,0.98663,0.61608,1.47268,0.60659,1.02599,0.00121645,0.00121645,0.00121645
37,757.95,1.48468,0.6465,1.01371,0.9974,0.97919,0.99187,0.61482,1.46718,0.57364,1.02244,0.00119317,0.00119317,0.00119317
38,778.115,1.50174,0.65672,1.04297,0.996,0.97714,0.98879,0.61228,1.46095,0.60692,1.02776,0.00116955,0.00116955,0.00116955
39,798.314,1.4957,0.64311,1.01437,0.99807,0.97919,0.99253,0.62757,1.4677,0.56327,1.02805,0.0011456,0.0011456,0.0011456
40,818.527,1.49676,0.63129,1.02528,0.99713,0.97816,0.99224,0.60685,1.51461,0.59002,1.03997,0.00112135,0.00112135,0.00112135
