epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4783,1.5283,0.648,1.07609,0.98263,0.97562,0.98213,0.56284,1.54852,0.60953,1.1256,0.000549205,0.000549205,0.000549205
2,79.74,1.50549,0.64936,1.05952,0.9847,0.98027,0.98535,0.566,1.53572,0.59868,1.11147,0.0011046,0.0011046,0.0011046
3,120.873,1.52517,0.6697,1.07003,0.94496,0.92852,0.95966,0.49967,1.61141,1.10419,1.13864,0.00165892,0.00165892,0.00165892
4,159.247,1.527,0.67554,1.06575,0.9726,0.97394,0.97624,0.551,1.57098,0.63447,1.10962,0.00166334,0.00166334,0.00166334
5,203.425,1.52003,0.67755,1.06298,0.97749,0.97789,0.98328,0.55712,1.57387,0.64731,1.11257,0.00166049,0.00166049,0.00166049
6,244.011,1.53441,0.69454,1.06175,0.99357,0.97545,0.98437,0.57111,1.52073,0.622,1.09311,0.00165684,0.00165684,0.00165684
7,284.145,1.50339,0.66784,1.0553,0.99178,0.97593,0.98476,0.57113,1.53616,0.61189,1.09856,0.00165238,0.00165238,0.00165238
8,324.944,1.51843,0.66912,1.05972,0.97993,0.97947,0.98208,0.55166,1.51467,0.64022,1.09097,0.00164713,0.00164713,0.00164713
9,375.578,1.50455,0.67065,1.05173,0.99203,0.97713,0.98588,0.56588,1.5026,0.62019,1.08961,0.00164108,0.00164108,0.00164108
10,414.905,1.49961,0.65852,1.051,0.99027,0.97813,0.98481,0.58251,1.50563,0.59087,1.08544,0.00163424,0.00163424,0.00163424
11,453.659,1.49374,0.64094,1.05363,0.99305,0.97699,0.98734,0.5894,1.49964,0.60342,1.08396,0.00162661,0.00162661,0.00162661
12,495.174,1.49495,0.66341,1.05631,0.99453,0.98106,0.98782,0.58373,1.50966,0.58781,1.08592,0.00161822,0.00161822,0.00161822
13,536.327,1.49034,0.65646,1.05612,0.99081,0.97576,0.98544,0.58186,1.50025,0.60839,1.08526,0.00160905,0.00160905,0.00160905
14,582.808,1.48558,0.64213,1.04623,0.99142,0.97972,0.98741,0.57932,1.51853,0.61458,1.08936,0.00159913,0.00159913,0.00159913
15,633.706,1.49797,0.65044,1.05142,0.99267,0.97868,0.98526,0.57839,1.53173,0.5959,1.08514,0.00158847,0.00158847,0.00158847
