epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.522,1.4405,0.76004,1.04982,0.88955,0.88535,0.96299,0.58989,1.53011,0.74149,1.14345,0.000545918,0.000545918,0.000545918
2,63.9094,1.45285,0.65302,1.05595,0.99123,0.96074,0.98649,0.60719,1.49021,0.61329,1.1018,0.00110132,0.00110132,0.00110132
3,98.2923,1.45831,0.64933,1.04162,0.98053,0.95919,0.97602,0.60691,1.50363,0.62975,1.10858,0.00165563,0.00165563,0.00165563
4,131.671,1.47514,0.67825,1.05642,0.99417,0.97076,0.98478,0.59145,1.47791,0.61595,1.09031,0.00166334,0.00166334,0.00166334
5,164.606,1.48792,0.66074,1.05309,0.979,0.96959,0.98658,0.61269,1.48582,0.60851,1.07794,0.00166049,0.00166049,0.00166049
6,198.371,1.49993,0.65693,1.06299,0.99424,0.97031,0.98683,0.59745,1.50463,0.6008,1.08738,0.00165684,0.00165684,0.00165684
7,225.564,1.47089,0.64361,1.04486,0.99762,0.97379,0.98687,0.61963,1.4594,0.58595,1.06952,0.00165238,0.00165238,0.00165238
8,253.646,1.44903,0.64245,1.03961,0.99487,0.97205,0.98984,0.61345,1.46794,0.593,1.07294,0.00164713,0.00164713,0.00164713
9,282.523,1.44963,0.62865,1.03702,0.99452,0.97098,0.99035,0.61565,1.46249,0.58354,1.07705,0.00164108,0.00164108,0.00164108
10,311.468,1.46199,0.64826,1.04902,0.99423,0.97118,0.99202,0.62649,1.50217,0.57391,1.09071,0.00163424,0.00163424,0.00163424
11,340.453,1.47607,0.6571,1.05502,0.99004,0.973,0.99143,0.62095,1.45133,0.58596,1.07295,0.00162661,0.00162661,0.00162661
12,368.47,1.47189,0.64732,1.04904,0.99795,0.97379,0.98969,0.61846,1.46856,0.57213,1.07642,0.00161822,0.00161822,0.00161822
13,402.208,1.44312,0.62716,1.04053,0.99401,0.97272,0.99072,0.63015,1.46949,0.58455,1.07022,0.00160905,0.00160905,0.00160905
14,434.736,1.45391,0.64698,1.04844,0.99729,0.97205,0.98949,0.6021,1.48569,0.59301,1.08079,0.00159913,0.00159913,0.00159913
15,463.575,1.45708,0.63423,1.03976,0.99792,0.97292,0.99114,0.63411,1.43946,0.5689,1.06534,0.00158847,0.00158847,0.00158847
16,492.728,1.43838,0.61745,1.03813,0.99589,0.97118,0.98813,0.6201,1.52332,0.59436,1.103,0.00157706,0.00157706,0.00157706
17,522.026,1.43354,0.62554,1.03076,0.99709,0.97292,0.98825,0.63864,1.46652,0.56941,1.06975,0.00156493,0.00156493,0.00156493
18,551.139,1.42783,0.62044,1.04442,0.99874,0.97352,0.97651,0.60913,1.4614,0.61129,1.07904,0.00155209,0.00155209,0.00155209
19,582.764,1.44763,0.63614,1.03188,0.99703,0.97205,0.98909,0.61331,1.51247,0.57982,1.08762,0.00153854,0.00153854,0.00153854
20,619.717,1.45152,0.63144,1.04467,0.99758,0.97292,0.991,0.6306,1.45036,0.58154,1.06308,0.00152431,0.00152431,0.00152431
21,650.357,1.43623,0.60899,1.03095,0.99757,0.97268,0.9878,0.62513,1.46312,0.58063,1.06868,0.00150941,0.00150941,0.00150941
22,678.18,1.46206,0.62901,1.042,0.99779,0.97292,0.99127,0.62031,1.47293,0.56834,1.0677,0.00149384,0.00149384,0.00149384
23,705.917,1.4469,0.6243,1.0334,0.99852,0.97292,0.99104,0.62743,1.45933,0.57397,1.06502,0.00147764,0.00147764,0.00147764
24,734.225,1.44232,0.61436,1.02994,0.99684,0.97205,0.98926,0.62397,1.46236,0.56725,1.07306,0.0014608,0.0014608,0.0014608
25,762.83,1.4239,0.60606,1.04038,0.99646,0.97205,0.99098,0.63968,1.45204,0.56882,1.07011,0.00144335,0.00144335,0.00144335
26,792.726,1.4335,0.61881,1.03562,0.99819,0.97379,0.99016,0.62722,1.43989,0.56331,1.05891,0.00142531,0.00142531,0.00142531
27,820.983,1.41494,0.59524,1.04061,0.99825,0.97292,0.9917,0.63464,1.4779,0.55619,1.07833,0.0014067,0.0014067,0.0014067
28,849.437,1.42649,0.59549,1.02508,0.99751,0.97615,0.99181,0.63417,1.45101,0.54599,1.06156,0.00138753,0.00138753,0.00138753
29,877.98,1.41596,0.59512,1.02053,0.99891,0.97379,0.99041,0.63586,1.43052,0.54918,1.05437,0.00136781,0.00136781,0.00136781
30,906.234,1.40749,0.59623,1.03351,0.99902,0.97379,0.99166,0.63364,1.43876,0.55503,1.0594,0.00134758,0.00134758,0.00134758
31,934.168,1.42164,0.60379,1.03706,0.99851,0.97379,0.99049,0.62902,1.43683,0.55943,1.0556,0.00132685,0.00132685,0.00132685
32,966.634,1.44173,0.60047,1.03699,0.99846,0.97292,0.99171,0.64365,1.4354,0.54877,1.05795,0.00130565,0.00130565,0.00130565
33,999.589,1.42035,0.60401,1.03613,0.9976,0.97292,0.9913,0.63924,1.44473,0.5612,1.06137,0.00128398,0.00128398,0.00128398
