epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.355,1.2265,3.60236,1.51359,0.62395,0.86649,0.88779,0.6288,1.39021,1.32331,1.25133,0,0,0
2,3.16454,1.12863,2.96725,1.42338,0.60711,0.89053,0.88541,0.62234,1.41657,1.35033,1.26054,1.17822e-06,1.17822e-06,1.17822e-06
3,3.8761,1.03978,2.60019,1.21831,0.56602,0.83333,0.8728,0.61905,1.43505,1.36386,1.27084,2.33288e-06,2.33288e-06,2.33288e-06
4,4.54977,1.21731,2.84261,1.515,0.60378,0.84571,0.87291,0.61688,1.43653,1.39021,1.26704,3.46397e-06,3.46397e-06,3.46397e-06
5,5.26686,1.45422,2.42822,1.80677,0.57515,0.83333,0.87426,0.6121,1.46651,1.42966,1.2858,4.5715e-06,4.5715e-06,4.5715e-06
6,5.93996,0.7637,1.77952,1.14186,0.85608,0.57084,0.87457,0.60552,1.4767,1.49241,1.29478,5.65548e-06,5.65548e-06,5.65548e-06
7,6.62849,1.04745,2.66605,1.29021,0.8537,0.56993,0.87412,0.57449,1.48721,1.53219,1.30606,6.71588e-06,6.71588e-06,6.71588e-06
8,7.27062,1.30016,2.71183,1.62729,0.85095,0.5702,0.88795,0.57426,1.50654,1.56852,1.32393,7.75273e-06,7.75273e-06,7.75273e-06
9,8.12281,1.3978,3.68761,1.64547,0.85191,0.56924,0.88815,0.59119,1.51524,1.5987,1.3327,8.76602e-06,8.76602e-06,8.76602e-06
10,8.84097,1.28904,2.38137,1.48445,0.85861,0.56667,0.80524,0.58333,1.53935,1.65148,1.35433,9.75574e-06,9.75574e-06,9.75574e-06
11,9.52373,1.40497,4.23213,1.64169,0.83523,0.56716,0.75051,0.55346,1.54971,1.7028,1.36095,1.07219e-05,1.07219e-05,1.07219e-05
12,10.1481,1.25223,2.67039,1.5133,0.83996,0.56667,0.77136,0.55974,1.55655,1.75453,1.36873,1.16645e-05,1.16645e-05,1.16645e-05
13,10.8095,0.71929,2.42405,1.21004,0.82029,0.56667,0.74871,0.56102,1.56395,1.77944,1.37274,1.25835e-05,1.25835e-05,1.25835e-05
14,11.5494,1.15359,3.29555,1.38868,0.79851,0.57324,0.74894,0.56135,1.5617,1.79615,1.37242,1.3479e-05,1.3479e-05,1.3479e-05
15,12.2228,1.07309,2.37868,1.25631,0.7945,0.57772,0.74905,0.56964,1.55642,1.81179,1.36512,1.43509e-05,1.43509e-05,1.43509e-05
16,12.8394,1.30492,2.55566,1.49249,0.76061,0.58333,0.75212,0.57578,1.56513,1.81382,1.37149,1.51993e-05,1.51993e-05,1.51993e-05
17,13.4993,1.07819,2.41842,1.43139,0.71943,0.58333,0.74996,0.55851,1.56789,1.83415,1.37337,1.60241e-05,1.60241e-05,1.60241e-05
18,14.2145,0.99383,2.15821,1.23471,0.71943,0.58333,0.74996,0.55851,1.56789,1.83415,1.37337,1.68253e-05,1.68253e-05,1.68253e-05
19,14.8357,1.19294,1.77055,1.56525,0.72616,0.58333,0.74738,0.54118,1.55623,1.83214,1.37576,1.7603e-05,1.7603e-05,1.7603e-05
20,15.42,0.95613,1.64461,1.21155,0.72616,0.58333,0.74738,0.54118,1.55623,1.83214,1.37576,1.83571e-05,1.83571e-05,1.83571e-05
21,16.0506,0.76625,1.42446,1.09914,0.94153,0.39307,0.74705,0.54195,1.56576,1.8919,1.38444,1.90876e-05,1.90876e-05,1.90876e-05
22,16.6487,0.90964,1.77983,1.20612,0.94153,0.39307,0.74705,0.54195,1.56576,1.8919,1.38444,1.97946e-05,1.97946e-05,1.97946e-05
23,17.2961,1.14515,2.1687,1.32599,0.94273,0.39126,0.74776,0.4968,1.5764,1.91763,1.38774,2.0478e-05,2.0478e-05,2.0478e-05
24,17.9162,1.05768,1.65973,1.41495,0.94273,0.39126,0.74776,0.4968,1.5764,1.91763,1.38774,2.11379e-05,2.11379e-05,2.11379e-05
25,18.5206,1.22864,2.15747,1.43615,0.94267,0.38992,0.63854,0.48174,1.57802,1.97992,1.39649,2.17741e-05,2.17741e-05,2.17741e-05
26,19.1358,1.17933,1.54022,1.3901,0.94267,0.38992,0.63854,0.48174,1.57802,1.97992,1.39649,2.23869e-05,2.23869e-05,2.23869e-05
27,19.8171,0.67339,1.32194,1.04417,0.93937,0.39006,0.63914,0.47588,1.58792,2.01183,1.4014,2.2976e-05,2.2976e-05,2.2976e-05
28,20.4229,0.6756,1.22447,1.12078,0.93937,0.39006,0.63914,0.47588,1.58792,2.01183,1.4014,2.35417e-05,2.35417e-05,2.35417e-05
29,21.056,1.02237,1.35211,1.34074,0.76959,0.38942,0.60914,0.45033,1.60664,2.05204,1.41939,2.40837e-05,2.40837e-05,2.40837e-05
30,21.6814,0.63231,1.06124,0.99971,0.76959,0.38942,0.60914,0.45033,1.60664,2.05204,1.41939,2.46022e-05,2.46022e-05,2.46022e-05
31,22.3166,0.97518,1.60812,1.26217,0.76491,0.38955,0.59997,0.47415,1.60783,2.07343,1.42398,2.50971e-05,2.50971e-05,2.50971e-05
32,22.9568,0.8023,1.30302,1.17959,0.76491,0.38955,0.59997,0.47415,1.60783,2.07343,1.42398,2.55685e-05,2.55685e-05,2.55685e-05
33,23.606,1.22252,3.47635,1.61828,0.76451,0.38953,0.59944,0.47071,1.63069,2.10733,1.44184,2.60163e-05,2.60163e-05,2.60163e-05
34,24.2182,0.56338,1.04877,1.02335,0.76451,0.38953,0.59944,0.47071,1.63069,2.10733,1.44184,2.64405e-05,2.64405e-05,2.64405e-05
35,24.8081,0.76868,1.43293,1.16599,0.76047,0.38917,0.61424,0.46708,1.66499,2.17693,1.48714,2.68412e-05,2.68412e-05,2.68412e-05
36,25.4432,0.76307,1.19997,1.17525,0.76047,0.38917,0.61424,0.46708,1.66499,2.17693,1.48714,2.72183e-05,2.72183e-05,2.72183e-05
37,26.0716,0.71241,1.19655,1.28816,0.75627,0.38915,0.58711,0.45037,1.70806,2.22587,1.53366,2.75718e-05,2.75718e-05,2.75718e-05
38,26.7877,0.80522,1.24394,1.27504,0.75627,0.38915,0.58711,0.45037,1.70806,2.22587,1.53366,2.79018e-05,2.79018e-05,2.79018e-05
