epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,461.159,1.30385,9.65948,0.50463,1.17065,1.46826,0.76238,0.63566,0.74888,0.51272,0.0471,0.02869,0.00203,0.00028,1.35636,8.68145,0.28173,1.42188,1.57474,0.0700262,0.00333042,0.00333042
2,912.88,1.24304,8.45465,0.41467,1.05976,1.39925,0.88605,0.89626,0.94526,0.65886,0.55085,0.29367,0.2105,0.04508,1.16792,6.55228,0.14759,0.794,1.34158,0.0398943,0.00653181,0.00653181
3,1363.35,1.19046,7.70572,0.38984,0.98283,1.34855,0.89681,0.8738,0.94816,0.69025,0.82935,0.45978,0.44158,0.17,1.07962,5.72999,0.12601,0.76167,1.255,0.00963036,0.0096012,0.0096012
4,1799.18,1.14405,7.26798,0.37472,0.91491,1.31124,0.89434,0.90484,0.95557,0.7205,0.82486,0.45783,0.44801,0.2022,0.99851,5.47029,0.10191,0.72949,1.21612,0.009406,0.009406,0.009406
5,2188.68,1.10362,6.91308,0.36279,0.85525,1.28308,0.90273,0.88614,0.94696,0.72792,0.84802,0.4988,0.49572,0.25342,0.97751,4.9766,0.10544,0.69469,1.20534,0.009208,0.009208,0.009208
6,2578.89,1.07426,6.69649,0.35368,0.83347,1.26316,0.92198,0.91414,0.9647,0.75041,0.8187,0.49513,0.49577,0.22525,0.93577,4.9565,0.10881,0.61086,1.16148,0.00901,0.00901,0.00901
7,2969.74,1.05709,6.53672,0.34754,0.81233,1.25121,0.91876,0.92008,0.96549,0.75604,0.76165,0.53432,0.53974,0.29027,0.89534,4.57082,0.10161,0.5991,1.12237,0.008812,0.008812,0.008812
8,3360,1.04341,6.37815,0.34573,0.79585,1.24374,0.93194,0.91373,0.96899,0.74894,0.80319,0.57979,0.58775,0.29597,0.9356,4.46841,0.1004,0.61635,1.16109,0.008614,0.008614,0.008614
9,3755.27,1.04541,6.27511,0.34373,0.7887,1.23944,0.9328,0.93071,0.97285,0.76408,0.79138,0.56989,0.55877,0.30783,0.87309,4.37695,0.10733,0.56921,1.13791,0.008416,0.008416,0.008416
10,4151.84,1.02748,6.13525,0.33774,0.77056,1.23231,0.92926,0.9448,0.97337,0.77336,0.8201,0.60809,0.61092,0.3415,0.85702,4.11346,0.07298,0.56483,1.0956,0.008218,0.008218,0.008218
11,4549.27,1.02013,6.07374,0.33473,0.75699,1.22313,0.93366,0.93852,0.97224,0.77843,0.79962,0.60003,0.60007,0.34349,0.85459,4.12998,0.10111,0.55605,1.09999,0.00802,0.00802,0.00802
12,4950.87,1.01341,5.94943,0.33455,0.74578,1.2195,0.9474,0.93814,0.97753,0.79021,0.8433,0.62141,0.6408,0.38907,0.8347,3.89626,0.06906,0.5131,1.08262,0.007822,0.007822,0.007822
13,5354.78,1.00574,5.88339,0.32883,0.73892,1.21259,0.94045,0.94449,0.97757,0.78656,0.81577,0.64027,0.65371,0.39576,0.83059,3.80591,0.0727,0.53494,1.08424,0.007624,0.007624,0.007624
14,5751.19,0.99906,5.87564,0.32851,0.73131,1.21069,0.95392,0.94057,0.98028,0.7892,0.85765,0.62346,0.65343,0.39579,0.83778,3.86284,0.07338,0.52277,1.07926,0.007426,0.007426,0.007426
15,6147.32,0.98723,5.74947,0.32512,0.72497,1.20475,0.93838,0.9375,0.97854,0.79375,0.84532,0.63761,0.66919,0.39445,0.81277,3.75165,0.07742,0.52371,1.07714,0.007228,0.007228,0.007228
16,6543.56,0.98874,5.72845,0.32523,0.72325,1.20589,0.94708,0.95364,0.98269,0.79446,0.80258,0.64882,0.65995,0.41868,0.81918,3.71729,0.07363,0.49518,1.07554,0.00703,0.00703,0.00703
17,6939.7,0.9864,5.7114,0.32188,0.72293,1.20231,0.95912,0.94352,0.98251,0.80609,0.83028,0.63819,0.6543,0.41336,0.79475,3.65379,0.07652,0.49451,1.05345,0.006832,0.006832,0.006832
18,7335.67,0.97579,5.61675,0.31772,0.7105,1.19881,0.95526,0.95169,0.98181,0.80644,0.81574,0.6583,0.66377,0.42575,0.77957,3.55941,0.06846,0.48106,1.0456,0.006634,0.006634,0.006634
19,7731.65,0.97182,5.58759,0.3186,0.70096,1.19687,0.96156,0.95793,0.98625,0.80877,0.83135,0.65343,0.67186,0.42968,0.77747,3.51414,0.07337,0.46631,1.04535,0.006436,0.006436,0.006436
20,8127.42,0.96791,5.54636,0.31681,0.69865,1.19013,0.95848,0.95761,0.98495,0.81604,0.8226,0.65981,0.67002,0.43156,0.76879,3.52832,0.06616,0.46195,1.03849,0.006238,0.006238,0.006238
