epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,352.18,0.93407,4.4097,0.33149,0.62352,1.17848,0.97243,0.96811,0.98925,0.79538,0.84021,0.77918,0.79494,0.54491,0.87691,2.73201,0.04843,0.40436,1.08021,0.00333042,0.00333042,0.00333042
2,683.561,0.89794,4.28022,0.31482,0.58423,1.15923,0.97422,0.96696,0.98921,0.79505,0.83866,0.77459,0.78691,0.52054,0.87501,2.79218,0.06284,0.41088,1.07739,0.00666212,0.00666212,0.00666212
3,1008.09,0.89988,4.32438,0.31313,0.58537,1.15704,0.97012,0.96901,0.98905,0.7971,0.83996,0.77126,0.78172,0.51136,0.86679,2.85429,0.06756,0.42946,1.07866,0.00998732,0.00998732,0.00998732
4,1331.14,0.90792,4.35628,0.31106,0.58797,1.15837,0.96516,0.97003,0.98886,0.77926,0.8304,0.77194,0.78016,0.50972,0.91416,2.85536,0.06574,0.42874,1.0934,0.00997803,0.00997803,0.00997803
5,1656.02,0.90647,4.36307,0.30876,0.59193,1.15943,0.96774,0.9682,0.98868,0.78447,0.83781,0.75858,0.77102,0.5046,0.90142,2.90599,0.06875,0.4337,1.09429,0.00996097,0.00996097,0.00996097
6,1982.4,0.90237,4.33111,0.30717,0.58459,1.15597,0.96022,0.97075,0.98796,0.78277,0.82752,0.76486,0.77459,0.51101,0.88812,2.85946,0.0724,0.42856,1.08383,0.00993906,0.00993906,0.00993906
7,2309.84,0.90281,4.34574,0.30463,0.59242,1.15744,0.96465,0.96797,0.98766,0.77582,0.82595,0.77805,0.78503,0.52249,0.95886,2.81671,0.07565,0.44542,1.12573,0.00991232,0.00991232,0.00991232
8,2634.96,0.90047,4.27819,0.30146,0.58343,1.15463,0.97037,0.9626,0.98792,0.78556,0.84829,0.76627,0.78528,0.52798,0.91026,2.8202,0.06901,0.42533,1.09998,0.00988079,0.00988079,0.00988079
9,2961.43,0.90879,4.36083,0.29817,0.59153,1.1608,0.96796,0.96529,0.98861,0.79481,0.84069,0.7691,0.78377,0.53009,0.8783,2.80855,0.06579,0.41912,1.07312,0.00984449,0.00984449,0.00984449
10,3294.16,0.90161,4.30698,0.29696,0.58992,1.15875,0.97112,0.96908,0.98916,0.78921,0.84089,0.77882,0.78683,0.52745,0.8955,2.77642,0.06435,0.4205,1.09033,0.00980345,0.00980345,0.00980345
11,3641.94,0.89899,4.29876,0.29704,0.5857,1.1571,0.96838,0.96811,0.98877,0.78295,0.84102,0.77549,0.78368,0.52851,0.92637,2.77102,0.06327,0.43154,1.10083,0.00975773,0.00975773,0.00975773
12,3992.11,0.89664,4.29386,0.29327,0.58315,1.15257,0.9701,0.96823,0.98834,0.79253,0.83969,0.77211,0.78308,0.53585,0.87726,2.77046,0.06608,0.4164,1.07712,0.00970736,0.00970736,0.00970736
13,4340.39,0.8981,4.2863,0.29447,0.58544,1.15551,0.96942,0.96617,0.9889,0.79147,0.84167,0.78022,0.78705,0.53591,0.88027,2.73318,0.06386,0.42303,1.07335,0.00965239,0.00965239,0.00965239
14,4680.24,0.89055,4.2587,0.29158,0.58143,1.15282,0.97112,0.96452,0.98857,0.78935,0.83902,0.77965,0.78914,0.53878,0.88819,2.72331,0.05941,0.41993,1.08284,0.00959289,0.00959289,0.00959289
